state,year,chapter,chapter_amount
TAMIL NADU,2010,Colorado,5541.0
TAMIL NADU,2010,Cornell,2000.0
TAMIL NADU,2010,Dallas,19385.0
TAMIL NADU,2010,General Funds,20000.0
TAMIL NADU,2010,Irvine,8000.0
TAMIL NADU,2010,London,2000.0
TAMIL NADU,2010,Los Angeles,2000.0
TAMIL NADU,2010,Madison,3420.0
TAMIL NADU,2010,Munich,6270.0
TAMIL NADU,2010,NYC/NJ,99237.0
TAMIL NADU,2010,New River Valley,2200.0
TAMIL NADU,2010,Princeton,5555.0
TAMIL NADU,2010,San Francisco,4625.0
TAMIL NADU,2010,Seattle,134091.0
TAMIL NADU,2010,Silicon Valley,160310.0
TAMIL NADU,2010,St. Louis,18250.0
TAMIL NADU,2010,Stanford,5600.0
TAMIL NADU,2010,UFlorida,11000.0
TAMIL NADU,2010,UIUC,8650.0
TAMIL NADU,2010,Work an Hour,16400.0
TAMIL NADU,2011,Atlanta,4000.0
TAMIL NADU,2011,Austin,11787.0
TAMIL NADU,2011,Berkeley,5750.0
TAMIL NADU,2011,Boston,22129.0
TAMIL NADU,2011,CentralNJ,6932.0
TAMIL NADU,2011,Chennai,43621.0
TAMIL NADU,2011,Cleveland,6000.0
TAMIL NADU,2011,Colorado,4100.0
TAMIL NADU,2011,Dallas,5981.0
TAMIL NADU,2011,Houston,5431.0
TAMIL NADU,2011,Irvine,4417.0
TAMIL NADU,2011,Madison,3630.0
TAMIL NADU,2011,Munich,8300.0
TAMIL NADU,2011,NYC/NJ,29545.0
TAMIL NADU,2011,Princeton,7250.0
TAMIL NADU,2011,San Francisco,1750.0
TAMIL NADU,2011,Seattle,128546.0
TAMIL NADU,2011,Silicon Valley,64345.0
TAMIL NADU,2011,St. Louis,10200.0
TAMIL NADU,2011,Stanford,18985.0
TAMIL NADU,2011,UFlorida,22400.0
TAMIL NADU,2011,UIUC,13327.0
TAMIL NADU,2011,Work an Hour,52716.0
TAMIL NADU,2012,Austin,5292.0
TAMIL NADU,2012,Boston,18528.0
TAMIL NADU,2012,CentralNJ,6563.0
TAMIL NADU,2012,Chennai,17474.0
TAMIL NADU,2012,Cleveland,13596.0
TAMIL NADU,2012,Colorado,9600.0
TAMIL NADU,2012,Dallas,9633.0
TAMIL NADU,2012,Houston,3760.0
TAMIL NADU,2012,Irvine,18500.0
TAMIL NADU,2012,Madison,3241.0
TAMIL NADU,2012,Munich,6600.0
TAMIL NADU,2012,NYC/NJ,12300.0
TAMIL NADU,2012,Princeton,21425.0
TAMIL NADU,2012,San Francisco,3100.0
TAMIL NADU,2012,Seattle,103800.0
TAMIL NADU,2012,Silicon Valley,49610.0
TAMIL NADU,2012,St. Louis,13000.0
TAMIL NADU,2012,Stanford,25400.0
TAMIL NADU,2012,UFlorida,16000.0
TAMIL NADU,2012,UIUC,9000.0
TAMIL NADU,2013,Austin,2000.0
TAMIL NADU,2013,Bangalore,10128.0
TAMIL NADU,2013,Boston,6433.0
TAMIL NADU,2013,CentralNJ,6841.0
TAMIL NADU,2013,Chennai,53612.0
TAMIL NADU,2013,Cleveland,6065.0
TAMIL NADU,2013,Colorado,21663.0
TAMIL NADU,2013,Dallas,14846.0
TAMIL NADU,2013,Irvine,11619.0
TAMIL NADU,2013,Madison,6214.0
TAMIL NADU,2013,Minnesota,1780.0
TAMIL NADU,2013,Munich,4781.0
TAMIL NADU,2013,NYC/NJ,58268.0
TAMIL NADU,2013,Princeton,25319.0
TAMIL NADU,2013,San Francisco,2604.0
TAMIL NADU,2013,Seattle,82121.0
TAMIL NADU,2013,Silicon Valley,127374.0
TAMIL NADU,2013,St. Louis,16429.0
TAMIL NADU,2013,Stanford,40449.0
TAMIL NADU,2013,UFlorida,9619.0
TAMIL NADU,2013,UIUC,11050.0
TAMIL NADU,2014,Boston,12879.0
TAMIL NADU,2014,CentralNJ,16403.0
TAMIL NADU,2014,Chennai,34757.0
TAMIL NADU,2014,Cleveland,2016.0
TAMIL NADU,2014,Colorado,17092.0
TAMIL NADU,2014,Cornell,6618.0
TAMIL NADU,2014,Dallas,30319.0
TAMIL NADU,2014,Irvine,17280.0
TAMIL NADU,2014,Minnesota,999.0
TAMIL NADU,2014,NYC/NJ,38033.0
TAMIL NADU,2014,Princeton,25744.0
TAMIL NADU,2014,San Francisco,17027.0
TAMIL NADU,2014,Seattle,114629.0
TAMIL NADU,2014,Silicon Valley,94730.0
TAMIL NADU,2014,St. Louis,24249.0
TAMIL NADU,2014,Stanford,64959.0
TAMIL NADU,2014,Toledo,1184.0
TAMIL NADU,2014,UFlorida,31361.0
TAMIL NADU,2014,UIUC,4371.0
TAMIL NADU,2015,Austin,16605.0
TAMIL NADU,2015,Bangalore,5133.0
TAMIL NADU,2015,Boston,9108.0
TAMIL NADU,2015,Chennai,108669.0
TAMIL NADU,2015,Colorado,30913.0
TAMIL NADU,2015,Cornell,9939.0
TAMIL NADU,2015,Dallas,28194.0
TAMIL NADU,2015,Danbury,10242.0
TAMIL NADU,2015,Minnesota,6996.0
TAMIL NADU,2015,NYC/NJ,38868.0
TAMIL NADU,2015,Princeton,5697.0
TAMIL NADU,2015,San Francisco,18437.0
TAMIL NADU,2015,Seattle,82077.0
TAMIL NADU,2015,Silicon Valley,58134.0
TAMIL NADU,2015,St. Louis,39732.0
TAMIL NADU,2015,Stanford,71375.0
TAMIL NADU,2015,Toledo,11487.0
TAMIL NADU,2015,UFlorida,34934.0
TAMIL NADU,2015,Zurich,10974.0
TAMIL NADU,2016,Austin,4542.0
TAMIL NADU,2016,Bangalore,15121.0
TAMIL NADU,2016,Berkeley,10604.0
TAMIL NADU,2016,Boston,26471.0
TAMIL NADU,2016,Chennai,84497.0
TAMIL NADU,2016,Colorado,16438.0
TAMIL NADU,2016,Cornell,8425.0
TAMIL NADU,2016,Dallas,13999.0
TAMIL NADU,2016,Danbury,32415.0
TAMIL NADU,2016,Irvine,5077.0
TAMIL NADU,2016,London,10642.0
TAMIL NADU,2016,Minnesota,12072.0
TAMIL NADU,2016,NYC/NJ,51196.0
TAMIL NADU,2016,Princeton,31279.0
TAMIL NADU,2016,Purdue,5498.0
TAMIL NADU,2016,San Francisco,29458.0
TAMIL NADU,2016,Seattle,155923.0
TAMIL NADU,2016,Silicon Valley,42511.0
TAMIL NADU,2016,St. Louis,44747.0
TAMIL NADU,2016,Stanford,84070.0
TAMIL NADU,2016,Toledo,12914.0
TAMIL NADU,2016,UFlorida,48715.0
TAMIL NADU,2016,Zurich,15242.0
TAMIL NADU,2017,Austin,7508.0
TAMIL NADU,2017,Bangalore,37479.0
TAMIL NADU,2017,Berkeley,11928.0
