state,chapter,year,state_total_amount,total_amount,state_percentage,pop_adj_units
ANDHRA PRADESH,All Chapters,2023,985410.0,3039128.0,5.4040172049351,1.3180529768134392
ANDHRA PRADESH,Bangalore,2023,9523.0,87020.0,10.943461273270511,2.669136895919637
ANDHRA PRADESH,Boston,2023,17876.0,150123.0,11.90756912664948,2.904285152841337
ANDHRA PRADESH,Danbury,2023,11691.0,24670.0,47.38954195379003,11.558424866778058
ANDHRA PRADESH,Frankfurt,2023,6326.0,6326.0,100.0,24.390243902439025
ANDHRA PRADESH,Kansas City,2023,31930.0,59915.0,53.292163898856714,12.998088755818712
ANDHRA PRADESH,Seattle,2023,86889.0,705969.0,12.307764221941756,3.0018937126687213
ANDHRA PRADESH,All Chapters,2024,141072.0,879119.0,8.023487150203783,1.9569480854155568
ANDHRA PRADESH,Kansas City,2024,23382.0,45239.0,51.685492605937355,12.60621770876521
ANDHRA PRADESH,Seattle,2024,47154.0,384079.0,12.277161729748306,2.994429690182514
ASSAM,All Chapters,2000,9640.0,528565.0,0.9119029826038424,0.3534507684511017
ASSAM,Berkeley,2000,2320.0,18970.0,12.229836584080127,4.740246738015553
ASSAM,St. Louis,2000,2500.0,27071.0,9.234974696169331,3.5794475566547796
ASSAM,All Chapters,2001,32610.0,767448.0,1.4163826083330726,0.548985507105842
ASSAM,Detroit,2001,2500.0,4000.0,62.5,24.224806201550386
ASSAM,Seattle,2001,2500.0,242337.0,1.0316212546990349,0.39985319949574993
ASSAM,Silicon Valley,2001,5870.0,151482.0,3.875047860471871,1.5019565350666166
ASSAM,All Chapters,2002,4800.0,823818.0,0.5826529646111156,0.2258344824074091
ASSAM,Silicon Valley,2002,4800.0,158791.0,3.022841344912495,1.1716439321366259
ASSAM,All Chapters,2003,64608.0,942333.0,2.2853916821335982,0.8858107295091466
ASSAM,Detroit,2003,5000.0,15050.0,33.222591362126245,12.876973396172962
ASSAM,Seattle,2003,2500.0,307983.0,0.811733115139472,0.3146252384261519
ASSAM,Silicon Valley,2003,14036.0,117512.0,11.944312070256654,4.629578321804904
ASSAM,All Chapters,2004,84412.0,1053399.0,2.0033244762905604,0.77648235515138
ASSAM,Detroit,2004,5500.0,18000.0,30.555555555555557,11.843238587424635
ASSAM,Seattle,2004,3500.0,309073.0,1.1324185548397951,0.43892192048054074
ASSAM,Silicon Valley,2004,6503.0,174315.0,3.7306026446375817,1.4459700173013883
ASSAM,Stamford,2004,5600.0,13600.0,41.17647058823529,15.95987232102143
ASSAM,All Chapters,2005,129819.0,1489248.0,2.9056946861771844,1.126238250456273
ASSAM,Detroit,2005,5000.0,22285.0,22.43661655822302,8.696363007063185
ASSAM,Silicon Valley,2005,31735.0,218371.0,14.53260735170879,5.63279354717395
ASSAM,Stamford,2005,6538.0,10853.0,60.2414079056482,23.349382909165968
ASSAM,All Chapters,2006,184208.0,1230346.0,3.7430121282956175,1.4507798946882238
